,Breakdown,Fiscal Year Ending,Value,Ticker,Unnamed: 0
0,totalLiab,2021-09-25,287912000000,AAPL,
1,totalStockholderEquity,2021-09-25,63090000000,AAPL,
2,otherCurrentLiab,2021-09-25,53577000000,AAPL,
3,totalAssets,2021-09-25,351002000000,AAPL,
4,commonStock,2021-09-25,57365000000,AAPL,
5,otherCurrentAssets,2021-09-25,14111000000,AAPL,
6,retainedEarnings,2021-09-25,5562000000,AAPL,
7,otherLiab,2021-09-25,43050000000,AAPL,
8,treasuryStock,2021-09-25,163000000,AAPL,
9,otherAssets,2021-09-25,38762000000,AAPL,
10,cash,2021-09-25,34940000000,AAPL,
11,totalCurrentLiabilities,2021-09-25,125481000000,AAPL,
12,shortLongTermDebt,2021-09-25,9613000000,AAPL,
13,otherStockholderEquity,2021-09-25,163000000,AAPL,
14,propertyPlantEquipment,2021-09-25,49527000000,AAPL,
15,totalCurrentAssets,2021-09-25,134836000000,AAPL,
16,longTermInvestments,2021-09-25,127877000000,AAPL,
17,netTangibleAssets,2021-09-25,63090000000,AAPL,
18,shortTermInvestments,2021-09-25,27699000000,AAPL,
19,netReceivables,2021-09-25,51506000000,AAPL,
20,longTermDebt,2021-09-25,109106000000,AAPL,
21,inventory,2021-09-25,6580000000,AAPL,
22,accountsPayable,2021-09-25,54763000000,AAPL,
23,totalLiab,2020-09-26,258549000000,AAPL,
24,totalStockholderEquity,2020-09-26,65339000000,AAPL,
25,otherCurrentLiab,2020-09-26,47867000000,AAPL,
26,totalAssets,2020-09-26,323888000000,AAPL,
27,commonStock,2020-09-26,50779000000,AAPL,
28,otherCurrentAssets,2020-09-26,11264000000,AAPL,
29,retainedEarnings,2020-09-26,14966000000,AAPL,
30,otherLiab,2020-09-26,46108000000,AAPL,
31,treasuryStock,2020-09-26,-406000000,AAPL,
32,otherAssets,2020-09-26,33952000000,AAPL,
33,cash,2020-09-26,38016000000,AAPL,
34,totalCurrentLiabilities,2020-09-26,105392000000,AAPL,
35,shortLongTermDebt,2020-09-26,8773000000,AAPL,
36,otherStockholderEquity,2020-09-26,-406000000,AAPL,
37,propertyPlantEquipment,2020-09-26,45336000000,AAPL,
38,totalCurrentAssets,2020-09-26,143713000000,AAPL,
39,longTermInvestments,2020-09-26,100887000000,AAPL,
40,netTangibleAssets,2020-09-26,65339000000,AAPL,
41,shortTermInvestments,2020-09-26,52927000000,AAPL,
42,netReceivables,2020-09-26,37445000000,AAPL,
43,longTermDebt,2020-09-26,98667000000,AAPL,
44,inventory,2020-09-26,4061000000,AAPL,
45,accountsPayable,2020-09-26,42296000000,AAPL,
46,totalLiab,2019-09-28,248028000000,AAPL,
47,totalStockholderEquity,2019-09-28,90488000000,AAPL,
48,otherCurrentLiab,2019-09-28,43242000000,AAPL,
49,totalAssets,2019-09-28,338516000000,AAPL,
50,commonStock,2019-09-28,45174000000,AAPL,
51,otherCurrentAssets,2019-09-28,12352000000,AAPL,
52,retainedEarnings,2019-09-28,45898000000,AAPL,
53,otherLiab,2019-09-28,50503000000,AAPL,
54,treasuryStock,2019-09-28,-584000000,AAPL,
55,otherAssets,2019-09-28,32978000000,AAPL,
56,cash,2019-09-28,48844000000,AAPL,
57,totalCurrentLiabilities,2019-09-28,105718000000,AAPL,
58,shortLongTermDebt,2019-09-28,10260000000,AAPL,
59,otherStockholderEquity,2019-09-28,-584000000,AAPL,
60,propertyPlantEquipment,2019-09-28,37378000000,AAPL,
61,totalCurrentAssets,2019-09-28,162819000000,AAPL,
