,Breakdown,Fiscal Year Ending,Value,Ticker
0,investments,2021-09-25,-2819000000,AAPL
1,changeToLiabilities,2021-09-25,14002000000,AAPL
2,totalCashflowsFromInvestingActivities,2021-09-25,-14545000000,AAPL
3,netBorrowings,2021-09-25,12665000000,AAPL
4,totalCashFromFinancingActivities,2021-09-25,-93353000000,AAPL
5,changeToOperatingActivities,2021-09-25,-6146000000,AAPL
6,issuanceOfStock,2021-09-25,1105000000,AAPL
7,netIncome,2021-09-25,94680000000,AAPL
8,changeInCash,2021-09-25,-3860000000,AAPL
9,repurchaseOfStock,2021-09-25,-92527000000,AAPL
10,totalCashFromOperatingActivities,2021-09-25,104038000000,AAPL
11,depreciation,2021-09-25,11284000000,AAPL
12,otherCashflowsFromInvestingActivities,2021-09-25,-608000000,AAPL
13,dividendsPaid,2021-09-25,-14467000000,AAPL
14,changeToInventory,2021-09-25,-2642000000,AAPL
15,changeToAccountReceivables,2021-09-25,-10125000000,AAPL
16,otherCashflowsFromFinancingActivities,2021-09-25,-129000000,AAPL
17,changeToNetincome,2021-09-25,2985000000,AAPL
18,capitalExpenditures,2021-09-25,-11085000000,AAPL
19,investments,2020-09-26,5335000000,AAPL
20,changeToLiabilities,2020-09-26,-1981000000,AAPL
21,totalCashflowsFromInvestingActivities,2020-09-26,-4289000000,AAPL
22,netBorrowings,2020-09-26,2499000000,AAPL
23,totalCashFromFinancingActivities,2020-09-26,-86820000000,AAPL
24,changeToOperatingActivities,2020-09-26,881000000,AAPL
25,issuanceOfStock,2020-09-26,880000000,AAPL
26,netIncome,2020-09-26,57411000000,AAPL
27,changeInCash,2020-09-26,-10435000000,AAPL
28,repurchaseOfStock,2020-09-26,-75992000000,AAPL
29,totalCashFromOperatingActivities,2020-09-26,80674000000,AAPL
30,depreciation,2020-09-26,11056000000,AAPL
31,otherCashflowsFromInvestingActivities,2020-09-26,-791000000,AAPL
32,dividendsPaid,2020-09-26,-14081000000,AAPL
33,changeToInventory,2020-09-26,-127000000,AAPL
34,changeToAccountReceivables,2020-09-26,6917000000,AAPL
35,otherCashflowsFromFinancingActivities,2020-09-26,-126000000,AAPL
36,changeToNetincome,2020-09-26,6517000000,AAPL
37,capitalExpenditures,2020-09-26,-7309000000,AAPL
38,investments,2019-09-28,58093000000,AAPL
39,changeToLiabilities,2019-09-28,-2548000000,AAPL
