,Breakdown,Fiscal Year Ending,Value,Ticker
0,researchDevelopment,2021-09-25,21914000000.0,AAPL
1,effectOfAccountingCharges,2021-09-25,,AAPL
2,incomeBeforeTax,2021-09-25,109207000000.0,AAPL
3,minorityInterest,2021-09-25,,AAPL
4,netIncome,2021-09-25,94680000000.0,AAPL
5,sellingGeneralAdministrative,2021-09-25,21973000000.0,AAPL
6,grossProfit,2021-09-25,152836000000.0,AAPL
7,ebit,2021-09-25,108949000000.0,AAPL
8,operatingIncome,2021-09-25,108949000000.0,AAPL
9,otherOperatingExpenses,2021-09-25,,AAPL
10,interestExpense,2021-09-25,-2645000000.0,AAPL
11,extraordinaryItems,2021-09-25,,AAPL
12,nonRecurring,2021-09-25,,AAPL
13,otherItems,2021-09-25,,AAPL
14,incomeTaxExpense,2021-09-25,14527000000.0,AAPL
15,totalRevenue,2021-09-25,365817000000.0,AAPL
16,totalOperatingExpenses,2021-09-25,256868000000.0,AAPL
17,costOfRevenue,2021-09-25,212981000000.0,AAPL
18,totalOtherIncomeExpenseNet,2021-09-25,258000000.0,AAPL
19,discontinuedOperations,2021-09-25,,AAPL
20,netIncomeFromContinuingOps,2021-09-25,94680000000.0,AAPL
21,netIncomeApplicableToCommonShares,2021-09-25,94680000000.0,AAPL
22,researchDevelopment,2020-09-26,18752000000.0,AAPL
23,effectOfAccountingCharges,2020-09-26,,AAPL
24,incomeBeforeTax,2020-09-26,67091000000.0,AAPL
25,minorityInterest,2020-09-26,,AAPL
26,netIncome,2020-09-26,57411000000.0,AAPL
27,sellingGeneralAdministrative,2020-09-26,19916000000.0,AAPL
28,grossProfit,2020-09-26,104956000000.0,AAPL
29,ebit,2020-09-26,66288000000.0,AAPL
30,operatingIncome,2020-09-26,66288000000.0,AAPL
31,otherOperatingExpenses,2020-09-26,,AAPL
32,interestExpense,2020-09-26,-2873000000.0,AAPL
33,extraordinaryItems,2020-09-26,,AAPL
34,nonRecurring,2020-09-26,,AAPL
35,otherItems,2020-09-26,,AAPL
36,incomeTaxExpense,2020-09-26,9680000000.0,AAPL
37,totalRevenue,2020-09-26,274515000000.0,AAPL
38,totalOperatingExpenses,2020-09-26,208227000000.0,AAPL
39,costOfRevenue,2020-09-26,169559000000.0,AAPL
40,totalOtherIncomeExpenseNet,2020-09-26,803000000.0,AAPL
41,discontinuedOperations,2020-09-26,,AAPL
42,netIncomeFromContinuingOps,2020-09-26,57411000000.0,AAPL
43,netIncomeApplicableToCommonShares,2020-09-26,57411000000.0,AAPL
44,researchDevelopment,2019-09-28,16217000000.0,AAPL
45,effectOfAccountingCharges,2019-09-28,,AAPL
46,incomeBeforeTax,2019-09-28,65737000000.0,AAPL
47,minorityInterest,2019-09-28,,AAPL
48,netIncome,2019-09-28,55256000000.0,AAPL
49,sellingGeneralAdministrative,2019-09-28,18245000000.0,AAPL
50,grossProfit,2019-09-28,98392000000.0,AAPL
51,ebit,2019-09-28,63930000000.0,AAPL
52,operatingIncome,2019-09-28,63930000000.0,AAPL
53,otherOperatingExpenses,2019-09-28,,AAPL
54,interestExpense,2019-09-28,-3576000000.0,AAPL
55,extraordinaryItems,2019-09-28,,AAPL
56,nonRecurring,2019-09-28,,AAPL
57,otherItems,2019-09-28,,AAPL
58,incomeTaxExpense,2019-09-28,10481000000.0,AAPL
59,totalRevenue,2019-09-28,260174000000.0,AAPL
60,totalOperatingExpenses,2019-09-28,196244000000.0,AAPL
61,costOfRevenue,2019-09-28,161782000000.0,AAPL
62,totalOtherIncomeExpenseNet,2019-09-28,1807000000.0,AAPL
63,discontinuedOperations,2019-09-28,,AAPL
64,netIncomeFromContinuingOps,2019-09-28,55256000000.0,AAPL
65,netIncomeApplicableToCommonShares,2019-09-28,55256000000.0,AAPL
66,researchDevelopment,2018-09-29,14236000000.0,AAPL
67,effectOfAccountingCharges,2018-09-29,,AAPL
68,incomeBeforeTax,2018-09-29,72903000000.0,AAPL
69,minorityInterest,2018-09-29,,AAPL
70,netIncome,2018-09-29,59531000000.0,AAPL
71,sellingGeneralAdministrative,2018-09-29,16705000000.0,AAPL
72,grossProfit,2018-09-29,101839000000.0,AAPL
73,ebit,2018-09-29,70898000000.0,AAPL
74,operatingIncome,2018-09-29,70898000000.0,AAPL
75,otherOperatingExpenses,2018-09-29,,AAPL
76,interestExpense,2018-09-29,-3240000000.0,AAPL
77,extraordinaryItems,2018-09-29,,AAPL
78,nonRecurring,2018-09-29,,AAPL
79,otherItems,2018-09-29,,AAPL
80,incomeTaxExpense,2018-09-29,13372000000.0,AAPL
81,totalRevenue,2018-09-29,265595000000.0,AAPL
82,totalOperatingExpenses,2018-09-29,194697000000.0,AAPL
83,costOfRevenue,2018-09-29,163756000000.0,AAPL
84,totalOtherIncomeExpenseNet,2018-09-29,2005000000.0,AAPL
85,discontinuedOperations,2018-09-29,,AAPL
86,netIncomeFromContinuingOps,2018-09-29,59531000000.0,AAPL
87,netIncomeApplicableToCommonShares,2018-09-29,59531000000.0,AAPL
88,researchDevelopment,2021-12-31,6980000000.0,ABBV
89,effectOfAccountingCharges,2021-12-31,,ABBV
90,incomeBeforeTax,2021-12-31,12989000000.0,ABBV
91,minorityInterest,2021-12-31,,ABBV
92,netIncome,2021-12-31,11542000000.0,ABBV
93,sellingGeneralAdministrative,2021-12-31,12017000000.0,ABBV
94,grossProfit,2021-12-31,38966000000.0,ABBV
95,ebit,2021-12-31,19537000000.0,ABBV
96,operatingIncome,2021-12-31,19537000000.0,ABBV
97,otherOperatingExpenses,2021-12-31,432000000.0,ABBV
